payment_id,order_id,settlement_id,amount_paise,fee_paise,tax_paise,settled_amount_paise,method,currency,status,captured_at,refund_ids
pay_00001Z7sGRckiS,order_00001SgLl5yCWS,setl_00001UKG2WGBZc,80575,0,0,80575,upi,INR,captured,2026-08-17T08:02:57+05:30,
pay_00002KF7aTIAK5,order_00002W4QkYgOLt,setl_00001UKG2WGBZc,198097,0,0,198097,upi,INR,captured,2026-08-17T13:10:32+05:30,
pay_00003Vq78CizRU,order_00003sR1S6NmMs,setl_00001UKG2WGBZc,239644,4553,820,234271,netbanking,INR,captured,2026-08-17T18:26:12+05:30,
pay_00004NSVIK6SP3,order_00004H2Aagxddq,setl_00001UKG2WGBZc,212092,0,0,212092,upi,INR,captured,2026-08-17T22:39:56+05:30,
pay_00005dWmHwCMPI,order_00005nOyFXRQcx,setl_00001UKG2WGBZc,145683,0,0,145683,upi,INR,captured,2026-08-17T23:48:31+05:30,
pay_00006pMW1Z4ROU,order_00006HLW7slQlk,setl_00001UKG2WGBZc,94103,0,0,94103,upi,INR,captured,2026-08-18T05:48:21+05:30,
pay_00007IiKpuSjju,order_00007d5MPEJwWt,setl_00001UKG2WGBZc,90652,0,0,90652,upi,INR,captured,2026-08-18T06:57:39+05:30,
pay_00008Hzv2Pus6M,order_00008DIUOhvoN4,setl_00001UKG2WGBZc,212419,0,0,212419,upi,INR,captured,2026-08-18T09:38:15+05:30,
pay_00009Hr4YxXBc3,order_00009lF6k7HaeP,setl_00001UKG2WGBZc,109720,0,0,109720,upi,INR,captured,2026-08-18T10:28:30+05:30,
pay_00010Z2TAYeQbS,order_00010celpeY4zB,setl_00001UKG2WGBZc,107243,0,0,107243,upi,INR,captured,2026-08-18T12:22:50+05:30,
pay_00011haSdUc0wF,order_00011rQLr5xYbj,setl_00001UKG2WGBZc,84427,0,0,84427,upi,INR,captured,2026-08-18T13:53:49+05:30,
pay_00012Ns271O7a2,order_00012icJyHfnTT,setl_00001UKG2WGBZc,223058,0,0,223058,upi,INR,captured,2026-08-18T17:12:42+05:30,
pay_00013nZmlX0059,order_00013CIsegSEuh,setl_00001UKG2WGBZc,117343,0,0,117343,upi,INR,captured,2026-08-18T18:34:33+05:30,
pay_000143tBMsKJwt,order_00014AapnTB0iT,setl_00002Q4COfFlK3,154746,3095,557,151094,card,INR,captured,2026-08-19T08:10:38+05:30,
pay_00015sIkL01iHq,order_000152eebFbKzK,setl_00002Q4COfFlK3,196747,0,0,196747,upi,INR,captured,2026-08-19T20:14:59+05:30,
pay_000169DWwnVTsC,order_00016FyFP0YMkF,setl_00002Q4COfFlK3,148319,0,0,148319,upi,INR,captured,2026-08-20T00:35:18+05:30,
pay_00017O7TDwnEdw,order_00017cm4wDCc8u,setl_00002Q4COfFlK3,228467,4341,781,223345,netbanking,INR,captured,2026-08-20T00:52:04+05:30,
pay_00018kOwOZGx4G,order_00018v1EDLFike,setl_00002Q4COfFlK3,231684,0,0,231684,upi,INR,captured,2026-08-20T00:55:46+05:30,
pay_00019wShoYSDDn,order_00019jZbcJjNcJ,setl_00002Q4COfFlK3,119384,0,0,119384,upi,INR,captured,2026-08-20T04:26:55+05:30,
pay_00020z8N2TY6nL,order_00020DDnziKVMF,setl_00002Q4COfFlK3,127195,0,0,127195,upi,INR,captured,2026-08-20T06:09:53+05:30,
pay_00021oxgm1FAjf,order_00021DMcWFhDiL,setl_00002Q4COfFlK3,236377,0,0,236377,upi,INR,captured,2026-08-20T17:01:08+05:30,
pay_000222RA6DVvX4,order_00022ZJApV4fLH,setl_00003RNfRT8LjI,216850,0,0,216850,upi,INR,captured,2026-08-21T00:43:14+05:30,
pay_00023haOQtwjOp,order_000231AwrQUzWD,setl_00003RNfRT8LjI,81864,0,0,81864,upi,INR,captured,2026-08-21T04:03:34+05:30,
pay_00024tvRT1OUBR,order_00024knyuIRRj7,setl_00003RNfRT8LjI,206814,0,0,206814,upi,INR,captured,2026-08-21T05:23:28+05:30,
pay_00025necx9MGSL,order_000256YNBmOXrc,setl_00003RNfRT8LjI,103105,0,0,103105,upi,INR,captured,2026-08-21T08:22:48+05:30,
pay_00026PwO8fryPz,order_00026maR4ITIKv,setl_00003RNfRT8LjI,140731,2815,507,137409,card,INR,captured,2026-08-21T08:41:38+05:30,
pay_00027CzakFIFvh,order_00027FpHXpBxDp,setl_00003RNfRT8LjI,238954,3584,645,234725,wallet,INR,captured,2026-08-21T11:16:51+05:30,
