Name,Id,Financial Status,Currency,Subtotal,Taxes,Total,Discount Amount,Payment Reference,Payment Method,Created At,Processed At,Refunded Amount
#3001,5409802029725,paid,INR,682.84,122.91,805.75,0.00,pay_00001Z7sGRckiS,Razorpay,2026-08-17T08:02:54+05:30,2026-08-17T08:02:57+05:30,0.00
#3002,8383924805607,paid,INR,1678.79,302.18,1980.97,0.00,pay_00002KF7aTIAK5,Razorpay,2026-08-17T13:10:24+05:30,2026-08-17T13:10:32+05:30,0.00
#3003,6166823960337,paid,INR,2030.88,365.56,2396.44,0.00,pay_00003Vq78CizRU,Razorpay,2026-08-17T18:26:08+05:30,2026-08-17T18:26:12+05:30,0.00
#3004,6416418075462,paid,INR,1797.39,323.53,2120.92,0.00,pay_00004NSVIK6SP3,Razorpay,2026-08-17T22:39:50+05:30,2026-08-17T22:39:56+05:30,0.00
#3005,7751721760972,paid,INR,1234.60,222.23,1456.83,0.00,pay_00005dWmHwCMPI,Razorpay,2026-08-17T23:48:21+05:30,2026-08-17T23:48:31+05:30,0.00
#3006,6050178975661,paid,INR,797.48,143.55,941.03,0.00,pay_00006pMW1Z4ROU,Razorpay,2026-08-18T05:48:13+05:30,2026-08-18T05:48:21+05:30,0.00
#3007,9579224849310,paid,INR,768.24,138.28,906.52,0.00,pay_00007IiKpuSjju,Razorpay,2026-08-18T06:57:36+05:30,2026-08-18T06:57:39+05:30,0.00
#3008,7825597394894,paid,INR,1800.16,324.03,2124.19,0.00,pay_00008Hzv2Pus6M,Razorpay,2026-08-18T09:38:07+05:30,2026-08-18T09:38:15+05:30,0.00
#3009,6875928251608,paid,INR,929.83,167.37,1097.20,0.00,pay_00009Hr4YxXBc3,Razorpay,2026-08-18T10:28:22+05:30,2026-08-18T10:28:30+05:30,0.00
#3010,8807078115280,paid,INR,908.84,163.59,1072.43,0.00,pay_00010Z2TAYeQbS,Razorpay,2026-08-18T12:22:43+05:30,2026-08-18T12:22:50+05:30,0.00
#3011,6199240191692,paid,INR,715.48,128.79,844.27,0.00,pay_00011haSdUc0wF,Razorpay,2026-08-18T13:53:41+05:30,2026-08-18T13:53:49+05:30,0.00
#3012,8630156768364,paid,INR,1890.32,340.26,2230.58,0.00,pay_00012Ns271O7a2,Razorpay,2026-08-18T17:12:32+05:30,2026-08-18T17:12:42+05:30,0.00
