payment_id,order_id,settlement_id,amount_paise,fee_paise,tax_paise,settled_amount_paise,method,currency,status,captured_at,refund_ids
pay_000015QnuVdYXy,order_00001e4JSnE2Ni,setl_00001YPZTQGOAw,179471,0,0,179471,upi,INR,captured,2026-08-17T09:53:34+05:30,
pay_00002K3yn9Ffcg,order_00002MXAdx9G81,setl_00001YPZTQGOAw,221289,0,0,221289,upi,INR,captured,2026-08-17T15:43:44+05:30,
pay_00003vsjaSS8VF,order_00003gM0Fmxk75,setl_00001YPZTQGOAw,149946,2999,540,146407,card,INR,captured,2026-08-17T20:39:21+05:30,
pay_0000452Ztd26fE,order_00004eVVhDIq2A,setl_00001YPZTQGOAw,208085,0,0,208085,upi,INR,captured,2026-08-17T21:20:50+05:30,
pay_00005BpdbIKaRd,order_00005ebuFrEHS2,setl_00001YPZTQGOAw,194845,3702,666,190477,netbanking,INR,captured,2026-08-18T04:15:33+05:30,
pay_00006lgAACTP9g,order_00006yv1plBArp,setl_00001YPZTQGOAw,203987,4080,734,199173,card,INR,captured,2026-08-18T04:47:50+05:30,
pay_00007OHafUozD1,order_000073kay5WrRT,setl_00001YPZTQGOAw,224264,0,0,224264,upi,INR,captured,2026-08-18T06:57:07+05:30,
pay_00008ndTdtdD5G,order_00008dF0ee1z6J,setl_00001YPZTQGOAw,120579,0,0,120579,upi,INR,captured,2026-08-18T07:14:27+05:30,
pay_00009mSoyPstUe,order_00009C99enq522,setl_00001YPZTQGOAw,162934,3096,557,159281,netbanking,INR,captured,2026-08-18T11:00:51+05:30,
pay_00010RL9OaYsP6,order_00010ihgIqLSmN,setl_00001YPZTQGOAw,194867,3897,701,190269,card,INR,captured,2026-08-18T12:10:14+05:30,
pay_000110fAraVNqT,order_00011IAae24HZK,setl_00001YPZTQGOAw,145829,2771,499,142559,netbanking,INR,captured,2026-08-18T13:25:07+05:30,
pay_000123X13npgW2,order_00012zMj518Y2b,setl_00001YPZTQGOAw,90965,0,0,90965,upi,INR,captured,2026-08-18T13:46:15+05:30,
pay_00013RxcDm4vY2,order_00013nOyreVvFQ,setl_00001YPZTQGOAw,149941,0,0,149941,upi,INR,captured,2026-08-18T20:21:29+05:30,
pay_000148l7qgATtL,order_00014FxJpRa5HS,setl_00002P2MLjlQM3,87235,0,0,87235,upi,INR,captured,2026-08-19T05:17:12+05:30,
pay_00015Put0Sstzy,order_00015shA6P3MsH,setl_00002P2MLjlQM3,193062,0,0,193062,upi,INR,captured,2026-08-19T06:30:14+05:30,
pay_00016JOCBnD3Xk,order_00016fFNuYUPnm,setl_00002P2MLjlQM3,135098,0,0,135098,upi,INR,captured,2026-08-19T07:22:35+05:30,
pay_00017VC2JSxyjQ,order_00017312WnXRCI,setl_00002P2MLjlQM3,204554,4091,736,199727,card,INR,captured,2026-08-19T07:35:39+05:30,
pay_000189K63LSFZH,order_000183UDqpNVGM,setl_00002P2MLjlQM3,201803,4036,726,197041,card,INR,captured,2026-08-19T09:50:51+05:30,
