Name,Id,Financial Status,Currency,Subtotal,Taxes,Total,Discount Amount,Payment Reference,Payment Method,Created At,Processed At,Refunded Amount
#1001,7169558192157,paid,INR,1520.94,273.77,1794.71,0.00,pay_000015QnuVdYXy,Razorpay,2026-08-17T09:53:24+05:30,2026-08-17T09:53:34+05:30,0.00
#1002,6008117823929,paid,INR,1875.33,337.56,2212.89,0.00,pay_00002K3yn9Ffcg,Razorpay,2026-08-17T15:43:34+05:30,2026-08-17T15:43:44+05:30,0.00
#1003,5008239866845,paid,INR,1270.73,228.73,1499.46,0.00,pay_00003vsjaSS8VF,Razorpay,2026-08-17T20:39:14+05:30,2026-08-17T20:39:21+05:30,0.00
#1004,8510327092122,paid,INR,1763.43,317.42,2080.85,0.00,pay_0000452Ztd26fE,Razorpay,2026-08-17T21:20:43+05:30,2026-08-17T21:20:50+05:30,0.00
#1005,9160003152707,paid,INR,1651.23,297.22,1948.45,0.00,pay_00005BpdbIKaRd,Razorpay,2026-08-18T04:15:28+05:30,2026-08-18T04:15:33+05:30,0.00
#1006,5665390359164,paid,INR,1728.70,311.17,2039.87,0.00,pay_00006lgAACTP9g,Razorpay,2026-08-18T04:47:41+05:30,2026-08-18T04:47:50+05:30,0.00
#1007,9891037294990,paid,INR,1900.54,342.10,2242.64,0.00,pay_00007OHafUozD1,Razorpay,2026-08-18T06:56:58+05:30,2026-08-18T06:57:07+05:30,0.00
#1008,8685434056020,paid,INR,1021.86,183.93,1205.79,0.00,pay_00008ndTdtdD5G,Razorpay,2026-08-18T07:14:17+05:30,2026-08-18T07:14:27+05:30,0.00
#1009,7505553040338,paid,INR,1380.80,248.54,1629.34,0.00,pay_00009mSoyPstUe,Razorpay,2026-08-18T11:00:47+05:30,2026-08-18T11:00:51+05:30,0.00
#1010,9446424953574,paid,INR,1651.42,297.25,1948.67,0.00,pay_00010RL9OaYsP6,Razorpay,2026-08-18T12:10:05+05:30,2026-08-18T12:10:14+05:30,0.00
#1011,8780207278455,paid,INR,1235.84,222.45,1458.29,0.00,pay_000110fAraVNqT,Razorpay,2026-08-18T13:25:03+05:30,2026-08-18T13:25:07+05:30,0.00
#1012,8624655254313,paid,INR,770.89,138.76,909.65,0.00,pay_000123X13npgW2,Razorpay,2026-08-18T13:46:10+05:30,2026-08-18T13:46:15+05:30,0.00
#1013,9719497588109,paid,INR,1270.69,228.72,1499.41,0.00,pay_00013RxcDm4vY2,Razorpay,2026-08-18T20:21:22+05:30,2026-08-18T20:21:29+05:30,0.00
#1014,6733752147779,paid,INR,739.28,133.07,872.35,0.00,pay_000148l7qgATtL,Razorpay,2026-08-19T05:17:05+05:30,2026-08-19T05:17:12+05:30,0.00
#1015,7671471401611,paid,INR,1636.12,294.50,1930.62,0.00,pay_00015Put0Sstzy,Razorpay,2026-08-19T06:30:08+05:30,2026-08-19T06:30:14+05:30,0.00
#1016,5403831832079,paid,INR,1144.90,206.08,1350.98,0.00,pay_00016JOCBnD3Xk,Razorpay,2026-08-19T07:22:30+05:30,2026-08-19T07:22:35+05:30,0.00
#1017,9012020685686,paid,INR,1733.51,312.03,2045.54,0.00,pay_00017VC2JSxyjQ,Razorpay,2026-08-19T07:35:35+05:30,2026-08-19T07:35:39+05:30,0.00
#1018,8866649953455,paid,INR,1710.19,307.84,2018.03,0.00,pay_000189K63LSFZH,Razorpay,2026-08-19T09:50:48+05:30,2026-08-19T09:50:51+05:30,0.00
#1019,5053588219910,paid,INR,1312.72,236.29,1549.01,0.00,pay_00019u3ejxjnzu,Razorpay,2026-08-19T16:00:22+05:30,2026-08-19T16:00:29+05:30,0.00
#1020,5734555810047,paid,INR,1341.35,241.44,1582.79,0.00,pay_0002007zUHLnnB,Razorpay,2026-08-19T17:54:48+05:30,2026-08-19T17:54:56+05:30,0.00
#1021,6753408730465,paid,INR,979.42,176.30,1155.72,0.00,pay_00021lquCu2r6A,Razorpay,2026-08-19T21:01:22+05:30,2026-08-19T21:01:24+05:30,0.00
#1022,6746827686944,paid,INR,2058.30,370.49,2428.79,0.00,pay_00022hPInRVkLU,Razorpay,2026-08-19T22:42:49+05:30,2026-08-19T22:42:52+05:30,0.00
#1023,9045123496322,paid,INR,1993.34,358.80,2352.14,0.00,pay_00023MgV0Lh8Wv,Razorpay,2026-08-19T23:40:54+05:30,2026-08-19T23:40:58+05:30,0.00
#1024,6599123759334,paid,INR,1645.42,296.18,1941.60,0.00,pay_00024GOM5WCZKt,Razorpay,2026-08-20T00:12:19+05:30,2026-08-20T00:12:28+05:30,0.00
#1025,9163408240599,paid,INR,1149.19,206.86,1356.05,0.00,pay_00025qrK2IGloz,Razorpay,2026-08-20T02:22:38+05:30,2026-08-20T02:22:48+05:30,0.00
#1026,6708678128103,paid,INR,1857.43,334.34,2191.77,0.00,pay_000269IvCtoStU,Razorpay,2026-08-20T03:45:56+05:30,2026-08-20T03:46:02+05:30,0.00
#1027,8522153830627,paid,INR,1183.33,213.00,1396.33,0.00,pay_00027sRhcds6NU,Razorpay,2026-08-20T03:48:09+05:30,2026-08-20T03:48:18+05:30,0.00
#1028,6828637031723,paid,INR,842.54,151.66,994.20,0.00,pay_00028QjY6fpIzK,Razorpay,2026-08-20T07:18:17+05:30,2026-08-20T07:18:22+05:30,0.00
#1029,6978023833781,paid,INR,1265.89,227.86,1493.75,0.00,pay_00029jkeaBKsoR,Razorpay,2026-08-20T13:02:46+05:30,2026-08-20T13:02:50+05:30,0.00
#1030,5184472222420,paid,INR,1268.08,228.25,1496.33,0.00,pay_00030ektUJrhQR,Razorpay,2026-08-20T13:45:40+05:30,2026-08-20T13:45:46+05:30,0.00
#1031,5324485194160,paid,INR,1958.13,352.46,2310.59,0.00,pay_00031UDO4lKNEf,Razorpay,2026-08-20T16:56:00+05:30,2026-08-20T16:56:09+05:30,0.00
