Date,Narration,Chq/Ref No,Value Dt,Withdrawal Amt,Deposit Amt,Closing Balance
19/08/26,NEFT-HDFC2717513608250-RAZORPAY,717513608250,19/08/26,,20488.87,520488.87
20/08/26,NEFT-INSURANCE-PREMIUM-ANNUAL,,20/08/26,161758.76,,358730.11
21/08/26,RAZORPAY-HDFC3662618171111-RAZORPAY,662618171111,21/08/26,,21354.94,380085.05
21/08/26,NEFT-AWS-CLOUD-SERVICES,,21/08/26,222754.33,,157330.72
22/08/26,NEFT-SHIPROCKET-LOGISTICS,,22/08/26,49930.15,,107400.57
22/08/26,NEFT-HDFC2001549707964-RAZORPAY,001549707964,22/08/26,,14429.83,121830.40
22/08/26,NEFT-GOOGLE-ADS-PAYMENT,,22/08/26,222084.12,,-100253.72
23/08/26,NEFT-HDFC0163892733144-RAZORPAY,163892733144,23/08/26,,36009.87,-64243.85
24/08/26,IMPS-META-ADS-PAYMENT,,24/08/26,205709.81,,-269953.66
25/08/26,NEFT-HDFC4586133068919-RAZORPAY,586133068919,25/08/26,,25132.44,-244821.22
