payment_id,order_id,settlement_id,amount_paise,fee_paise,tax_paise,settled_amount_paise,method,currency,status,captured_at,refund_ids
pay_00001XByB7vlQw,order_00001XqfAA9lsg,setl_000019PObQzxHD,167012,0,0,167012,upi,INR,captured,2026-08-17T08:27:20+05:30,
pay_00002kBBT4MANX,order_00002dPzFUjb0Q,setl_000019PObQzxHD,237973,4759,857,232357,card,INR,captured,2026-08-17T12:43:51+05:30,
pay_00003Ow6cjBwBe,order_00003iwtr7blG4,setl_000019PObQzxHD,97624,0,0,97624,upi,INR,captured,2026-08-17T12:47:13+05:30,
pay_00004LR9miekS9,order_00004Y79PRIssj,setl_000019PObQzxHD,196987,0,0,196987,upi,INR,captured,2026-08-17T13:55:22+05:30,
pay_00005XoEwJC8i2,order_00005eySDzzJht,setl_000019PObQzxHD,111814,1677,302,109835,wallet,INR,captured,2026-08-17T18:39:59+05:30,
pay_000062WNl7A4dh,order_00006jkuRv630p,setl_000019PObQzxHD,215622,0,0,215622,upi,INR,captured,2026-08-17T18:46:20+05:30,
pay_00007HFk6jOSL0,order_00007IZbcNJOVz,setl_000019PObQzxHD,243845,0,0,243845,upi,INR,captured,2026-08-17T20:12:21+05:30,
pay_00008NspYzCQjz,order_00008Cvi1t9vyV,setl_000019PObQzxHD,244407,0,0,244407,upi,INR,captured,2026-08-17T20:40:49+05:30,
pay_00009hBid61z73,order_00009Y5Slj9C2E,setl_000019PObQzxHD,163654,0,0,163654,upi,INR,captured,2026-08-17T20:45:34+05:30,
pay_00010vdE2ODH0A,order_000102TVwyJmIe,setl_000019PObQzxHD,143105,0,0,143105,upi,INR,captured,2026-08-17T20:54:49+05:30,
pay_00011MLhfx9Iwi,order_00011LyccSXGj3,setl_000019PObQzxHD,153327,3067,552,149708,card,INR,captured,2026-08-17T21:55:26+05:30,
pay_00012M0KFFEIDb,order_00012ugzt32NLq,setl_00002mqGmRscEm,122598,0,0,122598,upi,INR,captured,2026-08-18T02:22:45+05:30,
pay_00013WxYpJRlBz,order_00013zmFLD0TRG,setl_00002mqGmRscEm,244895,4898,882,239115,card,INR,captured,2026-08-18T03:40:41+05:30,
pay_000147CHHP1QXq,order_00014E7rs68VRQ,setl_00002mqGmRscEm,217750,0,0,217750,upi,INR,captured,2026-08-18T03:42:46+05:30,
pay_000155SrJH3yvV,order_00015jc7e5OUnZ,setl_00002mqGmRscEm,171436,0,0,171436,upi,INR,captured,2026-08-18T08:56:12+05:30,
pay_00016od4noguDQ,order_00016i78jO2DOU,setl_00002mqGmRscEm,241396,4828,869,235699,card,INR,captured,2026-08-18T14:11:39+05:30,
pay_00017VOoT0c5zZ,order_000175cZWlU2rc,setl_00002mqGmRscEm,249318,0,0,249318,upi,INR,captured,2026-08-18T22:51:30+05:30,
pay_000189HE60Dlgk,order_00018CplTXJUk1,setl_00002mqGmRscEm,167829,0,0,167829,upi,INR,captured,2026-08-18T23:16:43+05:30,
pay_00019yf8D6axBq,order_00019uKJqwoPCj,setl_000038qdY20wPA,215077,0,0,215077,upi,INR,captured,2026-08-19T01:49:11+05:30,
pay_000206wn7DC9xR,order_000204UXZVQKWG,setl_000038qdY20wPA,110779,2216,399,108164,card,INR,captured,2026-08-19T10:59:54+05:30,
pay_000213mHk0BQSE,order_000213BdizIIPt,setl_000038qdY20wPA,96189,1924,346,93919,card,INR,captured,2026-08-19T13:05:32+05:30,
pay_00022Jcvd95e5b,order_00022zVV8OA9x1,setl_000038qdY20wPA,80790,1616,291,78883,card,INR,captured,2026-08-19T14:33:32+05:30,
pay_00023PHOvlHGTn,order_00023absPHGZpv,setl_000038qdY20wPA,101037,2021,364,98652,card,INR,captured,2026-08-19T15:39:46+05:30,
pay_00024zV2amgcLR,order_00024dTyon1dFr,setl_000038qdY20wPA,88445,1769,318,86358,card,INR,captured,2026-08-19T18:05:59+05:30,
pay_00025GzrIKTkQI,order_00025cvNxGRzsl,setl_000038qdY20wPA,117554,1763,317,115474,wallet,INR,captured,2026-08-19T18:43:03+05:30,
pay_00026RX4I8Iipm,order_00026O50fSlqPL,setl_00004ZQDA2kiT8,139072,0,0,139072,upi,INR,captured,2026-08-20T06:04:09+05:30,
pay_00027ID1u7a67h,order_000279DpLm4IWx,setl_00004ZQDA2kiT8,234031,4681,843,228507,card,INR,captured,2026-08-20T06:13:58+05:30,
pay_00028Eg8D04wzI,order_00028njq5Jzjux,setl_00004ZQDA2kiT8,174278,0,0,174278,upi,INR,captured,2026-08-20T06:28:10+05:30,
pay_00029QpY7NEkXk,order_00029SE4HNdc06,setl_00004ZQDA2kiT8,224347,4487,808,219052,card,INR,captured,2026-08-20T09:46:58+05:30,
pay_00030NejnCdN54,order_00030OaGzbSHrF,setl_00004ZQDA2kiT8,188106,0,0,188106,upi,INR,captured,2026-08-20T09:52:51+05:30,
pay_00031lGYqyxzJ9,order_00031oQ0O1VfxI,setl_00004ZQDA2kiT8,217464,0,0,217464,upi,INR,captured,2026-08-20T19:20:09+05:30,
pay_00032u8834o3QJ,order_00032q5QrHOl0a,setl_00004ZQDA2kiT8,193746,3875,698,189173,card,INR,captured,2026-08-20T20:50:20+05:30,
pay_00033oZy3uUi9S,order_00033F8dBZvV7y,setl_00004ZQDA2kiT8,158453,0,0,158453,upi,INR,captured,2026-08-20T21:28:16+05:30,
pay_000349Ew6AQOfM,order_00034XSfjSNTtg,setl_00004ZQDA2kiT8,246231,0,0,246231,upi,INR,captured,2026-08-21T02:18:58+05:30,
pay_00035fAIFgfILW,order_000351azWSI9pG,setl_00004ZQDA2kiT8,150717,0,0,150717,upi,INR,captured,2026-08-21T03:55:26+05:30,
pay_00036qjkrsWw6S,order_00036EMCiay0x1,setl_00004ZQDA2kiT8,116396,0,0,116396,upi,INR,captured,2026-08-21T08:51:11+05:30,
pay_00037t6mt78sRE,order_00037JpxYyhIKH,setl_00004ZQDA2kiT8,235816,0,0,235816,upi,INR,captured,2026-08-21T10:36:32+05:30,
pay_00038sQYXzENpO,order_00038SWe9DyF5Q,setl_00004ZQDA2kiT8,134958,0,0,134958,upi,INR,captured,2026-08-21T12:25:51+05:30,
pay_000394gpPkLINO,order_000397uXggnUIQ,setl_00004ZQDA2kiT8,220746,0,0,220746,upi,INR,captured,2026-08-21T14:36:52+05:30,
pay_00040QQj9Ds5fZ,order_00040TvvWGvgSC,setl_00004ZQDA2kiT8,182533,0,0,182533,upi,INR,captured,2026-08-21T14:45:54+05:30,
pay_00041vgX5TFIuA,order_00041CXNlOyT2B,setl_00004ZQDA2kiT8,110168,0,0,110168,upi,INR,captured,2026-08-21T15:58:34+05:30,
pay_00042UYdg2luCq,order_000421GNLLKv0M,setl_00004ZQDA2kiT8,136307,0,0,136307,upi,INR,captured,2026-08-21T16:00:40+05:30,
pay_00043lQFzixlNQ,order_00043O9IEitBdw,setl_00004ZQDA2kiT8,142540,0,0,142540,upi,INR,captured,2026-08-21T17:02:00+05:30,
pay_000447FEQz0Efb,order_00044VsrHkCUVI,setl_00004ZQDA2kiT8,131151,2623,472,128056,card,INR,captured,2026-08-21T20:43:55+05:30,
pay_00045UVBnATOp2,order_00045bq1f1hYnT,setl_00005hzcqtRQVJ,176170,0,0,176170,upi,INR,captured,2026-08-22T00:41:14+05:30,
pay_00046WYXJHLk8s,order_00046J7F3YiUzd,setl_00005hzcqtRQVJ,123511,2470,445,120596,card,INR,captured,2026-08-22T01:43:40+05:30,
pay_00047tp0yiNMxe,order_00047XVyUR2CEK,setl_00005hzcqtRQVJ,145451,0,0,145451,upi,INR,captured,2026-08-22T03:59:28+05:30,
pay_00048y8ZEurHi0,order_00048W3VcMZb5j,setl_00005hzcqtRQVJ,96601,1932,348,94321,card,INR,captured,2026-08-22T09:20:02+05:30,
pay_0004942s22fwfP,order_00049OdMTUAffn,setl_00005hzcqtRQVJ,133036,1996,359,130681,wallet,INR,captured,2026-08-22T13:01:29+05:30,
pay_00050aRY9AiexT,order_00050gt2iVUi9i,setl_00005hzcqtRQVJ,216169,4323,778,211068,card,INR,captured,2026-08-22T21:18:31+05:30,
pay_00051BSMjzQ1fg,order_00051UKx7tirfI,setl_00005hzcqtRQVJ,239991,4800,864,234327,card,INR,captured,2026-08-22T23:19:52+05:30,
pay_00052LlyOWXoxo,order_00052Ne3awtx0A,setl_00005hzcqtRQVJ,159075,0,0,159075,upi,INR,captured,2026-08-23T00:56:12+05:30,
pay_00053cdWFMFzRf,order_00053HMrtFmYHy,setl_00005hzcqtRQVJ,83615,0,0,83615,upi,INR,captured,2026-08-23T01:53:15+05:30,
pay_00054fACLtTThR,order_00054Rk7GWSkhW,setl_00005hzcqtRQVJ,142557,0,0,142557,upi,INR,captured,2026-08-23T03:22:56+05:30,
pay_00055qdSJeCwEJ,order_00055wpgJSoFc1,setl_00005hzcqtRQVJ,167821,3356,604,163861,card,INR,captured,2026-08-23T11:46:11+05:30,
pay_00056j51I4TAtz,order_00056SqexF3lX8,setl_00005hzcqtRQVJ,175414,0,0,175414,upi,INR,captured,2026-08-23T11:51:20+05:30,
pay_00057VtfCwsWTp,order_00057w89WTHXj5,setl_00005hzcqtRQVJ,201921,3836,690,197395,netbanking,INR,captured,2026-08-23T14:06:50+05:30,
pay_00058QauVxTtm8,order_00058A78irco0z,setl_00005hzcqtRQVJ,170812,3416,615,166781,card,INR,captured,2026-08-23T14:06:58+05:30,
pay_00059FNyKdPis0,order_000595yZuCo6iV,setl_00005hzcqtRQVJ,102256,0,0,102256,upi,INR,captured,2026-08-23T16:28:33+05:30,
pay_00060thwVCC0fY,order_00060sRLn1jS8y,setl_00005hzcqtRQVJ,123089,0,0,123089,upi,INR,captured,2026-08-23T17:13:33+05:30,
pay_000610IIfgXhdW,order_00061nmyQ6fK4e,setl_00005hzcqtRQVJ,88147,1322,238,86587,wallet,INR,captured,2026-08-23T20:08:13+05:30,
pay_000620Yh6d5ASE,order_00062xAv4rBjMM,,113761,0,0,113761,upi,INR,captured,2026-08-23T18:04:20+05:30,
pay_00063fxzNXp9Hb,order_00063xSDWvJtqb,,224359,0,0,224359,upi,INR,captured,2026-08-23T17:30:00+05:30,
pay_00064DwKojpoHX,order_00064TV6J8y59k,,95359,1907,343,93109,card,INR,captured,2026-08-23T15:06:51+05:30,
pay_00065ZY8HkcdLb,order_00065DuMXvlX1d,,227615,4325,778,222512,netbanking,INR,captured,2026-08-23T12:35:12+05:30,
pay_00066uu8TBNEtR,order_00066I3MwPYxTs,setl_00004ZQDA2kiT8,106484,2662,479,103343,card,INR,captured,2026-08-20T21:20:41+05:30,
pay_00067tYLNgEuev,order_00067tN7YPTuan,setl_00002mqGmRscEm,237912,5948,1071,230893,card,INR,captured,2026-08-18T10:31:03+05:30,
pay_00068ScBAkz2vx,order_00068ZWJVnBXcb,setl_00002mqGmRscEm,108320,2708,487,105125,card,INR,captured,2026-08-18T21:22:42+05:30,
pay_00069je68u93RA,order_00069OLAdu8zI5,setl_00002mqGmRscEm,149212,2984,537,145691,card,INR,captured,2026-08-18T08:46:24+05:30,
pay_00070fyIEdafZM,order_00070DgmN8DhWD,setl_000038qdY20wPA,131135,2623,472,128040,card,INR,captured,2026-08-19T03:18:43+05:30,
pay_00071xlcBqZIjR,order_00071fPYzUodyG,,128465,0,0,128465,upi,INR,refunded,2026-08-19T16:26:15+05:30,rfnd_000017Q6Josy0c
pay_00072YhA9A9MZp,order_0007244eyyurC2,,123821,1857,334,121630,wallet,INR,refunded,2026-08-18T09:10:38+05:30,rfnd_00002WMGAzjKV6
pay_000732qOJDkyMQ,order_00073yy2QdDqxu,,220413,4188,754,215471,netbanking,INR,refunded,2026-08-19T01:39:55+05:30,rfnd_00003Xt01Q8osU
pay_00074B4zEGxdXe,order_00074RzWGJk2md,setl_000019PObQzxHD,144633,2893,521,141219,card,INR,captured,2026-08-17T21:00:12+05:30,rfnd_00004cdwmwCy5Q
pay_000757DIvZqZfb,order_00075d0WnnnmOF,setl_00004ZQDA2kiT8,143276,2866,516,139894,card,INR,captured,2026-08-20T00:58:06+05:30,rfnd_0000517QDikXnL
pay_0007670IKrQDur,order_000760CnsGMKa9,setl_000038qdY20wPA,178690,3574,643,174473,card,INR,captured,2026-08-19T21:43:16+05:30,
pay_00077urO7OlGod,order_000760CnsGMKa9,setl_000038qdY20wPA,178690,3574,643,174473,card,INR,captured,2026-08-19T21:43:19+05:30,
pay_000786wskOIsDT,order_00077TK9YvSQND,setl_000038qdY20wPA,181070,3621,652,176797,card,INR,captured,2026-08-19T18:55:26+05:30,
pay_00079SI463Onn2,order_00077TK9YvSQND,setl_000038qdY20wPA,120713,0,0,120713,upi,INR,captured,2026-08-19T18:57:26+05:30,
pay_00080QGz1j9v93,order_00078ChdNJMDmh,setl_00002mqGmRscEm,166250,3325,598,162327,card,INR,captured,2026-08-18T21:56:48+05:30,
pay_000819i1lfu9td,order_00078ChdNJMDmh,setl_00002mqGmRscEm,110833,0,0,110833,upi,INR,captured,2026-08-18T21:58:48+05:30,
pay_00082EVfMNz7xc,order_00079mxatZlPMp,setl_00002mqGmRscEm,125534,2511,452,122571,card,INR,captured,2026-08-18T08:33:17+05:30,
pay_00083gFsec6CGG,order_00080AQi9EUk4Y,setl_00004ZQDA2kiT8,95134,0,0,95134,upi,INR,captured,2026-08-21T13:00:06+05:30,
