Name,Id,Financial Status,Currency,Subtotal,Taxes,Total,Discount Amount,Payment Reference,Payment Method,Created At,Processed At,Refunded Amount
#2001,7694214258526,paid,INR,1415.36,254.76,1670.12,0.00,pay_00001XByB7vlQw,Razorpay,2026-08-17T08:27:11+05:30,2026-08-17T08:27:20+05:30,0.00
#2002,5306824615969,paid,INR,2016.72,363.01,2379.73,0.00,pay_00002kBBT4MANX,Razorpay,2026-08-17T12:43:47+05:30,2026-08-17T12:43:51+05:30,0.00
#2003,7302608250296,paid,INR,827.32,148.92,976.24,0.00,pay_00003Ow6cjBwBe,Razorpay,2026-08-17T12:47:07+05:30,2026-08-17T12:47:13+05:30,0.00
#2004,9472613552230,paid,INR,1669.38,300.49,1969.87,0.00,pay_00004LR9miekS9,Razorpay,2026-08-17T13:55:17+05:30,2026-08-17T13:55:22+05:30,0.00
#2005,8955983415943,paid,INR,947.58,170.56,1118.14,0.00,pay_00005XoEwJC8i2,Razorpay,2026-08-17T18:39:50+05:30,2026-08-17T18:39:59+05:30,0.00
#2006,7416137466234,paid,INR,1827.31,328.91,2156.22,0.00,pay_000062WNl7A4dh,Razorpay,2026-08-17T18:46:16+05:30,2026-08-17T18:46:20+05:30,0.00
#2007,5269032418644,paid,INR,2066.48,371.97,2438.45,0.00,pay_00007HFk6jOSL0,Razorpay,2026-08-17T20:12:12+05:30,2026-08-17T20:12:21+05:30,0.00
#2008,9941424213227,paid,INR,2071.25,372.82,2444.07,0.00,pay_00008NspYzCQjz,Razorpay,2026-08-17T20:40:46+05:30,2026-08-17T20:40:49+05:30,0.00
#2009,9446980113691,paid,INR,1386.90,249.64,1636.54,0.00,pay_00009hBid61z73,Razorpay,2026-08-17T20:45:25+05:30,2026-08-17T20:45:34+05:30,0.00
#2010,8962125607932,paid,INR,1212.75,218.30,1431.05,0.00,pay_00010vdE2ODH0A,Razorpay,2026-08-17T20:54:39+05:30,2026-08-17T20:54:49+05:30,0.00
#2011,7882523410395,paid,INR,1299.38,233.89,1533.27,0.00,pay_00011MLhfx9Iwi,Razorpay,2026-08-17T21:55:19+05:30,2026-08-17T21:55:26+05:30,0.00
#2012,6501007098132,paid,INR,1038.97,187.01,1225.98,0.00,pay_00012M0KFFEIDb,Razorpay,2026-08-18T02:22:35+05:30,2026-08-18T02:22:45+05:30,0.00
#2013,7858562242181,paid,INR,2075.38,373.57,2448.95,0.00,pay_00013WxYpJRlBz,Razorpay,2026-08-18T03:40:32+05:30,2026-08-18T03:40:41+05:30,0.00
#2014,7789534027352,paid,INR,1845.34,332.16,2177.50,0.00,pay_000147CHHP1QXq,Razorpay,2026-08-18T03:42:37+05:30,2026-08-18T03:42:46+05:30,0.00
#2015,6208052415515,paid,INR,1452.85,261.51,1714.36,0.00,pay_000155SrJH3yvV,Razorpay,2026-08-18T08:56:09+05:30,2026-08-18T08:56:12+05:30,0.00
#2016,7823027221528,paid,INR,2045.73,368.23,2413.96,0.00,pay_00016od4noguDQ,Razorpay,2026-08-18T14:11:33+05:30,2026-08-18T14:11:39+05:30,0.00
#2017,9996328550037,paid,INR,2112.86,380.32,2493.18,0.00,pay_00017VOoT0c5zZ,Razorpay,2026-08-18T22:51:27+05:30,2026-08-18T22:51:30+05:30,0.00
#2018,8568675625019,paid,INR,1422.28,256.01,1678.29,0.00,pay_000189HE60Dlgk,Razorpay,2026-08-18T23:16:35+05:30,2026-08-18T23:16:43+05:30,0.00
#2019,9422468011353,paid,INR,1822.69,328.08,2150.77,0.00,pay_00019yf8D6axBq,Razorpay,2026-08-19T01:49:05+05:30,2026-08-19T01:49:11+05:30,0.00
#2020,5684453654240,paid,INR,938.81,168.98,1107.79,0.00,pay_000206wn7DC9xR,Razorpay,2026-08-19T10:59:51+05:30,2026-08-19T10:59:54+05:30,0.00
